gene	Oocyte	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Nck1	0.264310444323272	0.295779053666714	0.0497851728394243	0.118409029953135	0.100429337664068	0.140889490653688	0.227586133348852
Wipf3	0.000482219566110059	0.000307720332819158	0.0611436242962282	0.000168065688274265	0	0.00185618318556042	0
Galnt2	0.0263358968245673	0.00184483164798503	0.00560889327376609	0.0390605143146849	0.0101464070231299	0.0253786763599514	0.0335494909840995
Fpgs	1.37468050481352	0.770393218945792	0.699846929288	0.640601644967472	0.18752490700676	0.173623314544822	0.287868746831089
Ffar3	0	0.000325519043574801	0.0042897022429491	0.313333952941931	0	0.00656700354869574	0.132618582030348
F13b	0.00962120162944248	0.00634909724433223	0	0	0	0	0.0262619059592732
Adgrg2	0.0300102163432713	0.0222526458567527	0.021368898665849	0	0	0.00129840831259693	0.00483649784339202
Hfe	0.195859526666831	0.211051282975763	0.388404690307257	0.0821654834428854	0.0351427929934315	0.0200681375218423	0.075961723291586
Mdk	0.000966317876090135	0	0.0314786158150031	0	0.0152717124241815	0.0488734115724468	0.450619481198064
Osbpl10	0.0651591141746316	0.1116914193747	0.0512075955489313	0	0	0.0306199327189334	0.156457680094905
Vmn2r56	0.000176868113293232	0.0146071029315914	0.0673847690118091	0.0403251198998248	0.234103552302985	0.0173836256752692	0.132358734358395
Olfr791	0.00243772210446699	0.00269283354319157	0.00223545726503273	0.0112693909238542	0	0.0015818878116323	0
Stpg2	0.0147563758100542	0.00305526592675044	0.000916960037912634	0.0152014236392035	0	0	0
Olfr792	0.00124408447736933	0.00370654963959107	0	0	0	0	0
Tmem255b	0.0581832404011427	0.397381996512124	0.0259750044670465	0.00825018869064277	0	0.0111894386034847	0
Slc15a4	0.0600618460625594	0.0857281161982411	0.394259988857753	0.106380039685842	0.281568945826287	0.278504674715606	0.206867440856779
Coq10b	1.06691157379392	1.34501274081785	0.287955928219064	0.133915536735524	0.109780999533765	0.102449616290772	0.121828900267543
Acot13	0.0289184311670259	0.23473672094315	0.492760067668897	0.344207023914848	0.12088598269166	0.236014872924594	0.140153237976398
Hist1h2ab	0	0	0	0	0	0.00923164186051239	0.00732008356893408
Sulf1	0.00744485437686023	0.00500580128913415	0.0240697851769327	0.0481813128987545	0	0	0.00303356805129845
Cers1	0	0.00130144088090343	0	0.00325665978364605	0	0	0.00024406864446063
Rtkn	0	0.00095178012654959	0.0371712793860718	0.0231350786774644	0.000409563357129307	0.01026852113558	0.0178630504083805
Dclre1a	1.65607196270922	1.20420438539145	0.174019802079724	0.0073899635327896	0.0532409384279483	0.04387241650099	0.124141789700474
Hbp1	0.457037266778361	0.369643822694121	0.741703298377922	0.770157594853286	0.665493048077067	0.529405684585339	0.288271389924642
Wrnip1	0.222204528336588	0.0343775643084726	0.112688602416545	0.0383207625944441	0.38480354045312	0.0633150484736882	0.0471643604198479
Gm21680	0.000306286377830402	0	0.00070571124337699	0.000316323736736737	0.00024002447425735	0.000295521258281314	0
Lenep	0.00185621701646351	0	0.0031014500768442	0.0336913834013246	0.00394126080162668	0.0014055460720574	0.082188230963738
Trim58	0.000165344941902013	0.000307720332819158	0.000507098226168997	0	0.0110183564522121	0.000344273873252901	0.00345100912285157
Hist1h2ai	0	0.000601504881056213	0	0.034162123874744	0.00925479105869793	0	0.0910955304481259
Ube2a	0.0780571316707789	0.492072952521267	0.651479960955693	0.52183242261838	0.645735264580254	0.801311611797595	1.05846057633654
Dbndd1	0.224083848060881	0.331963541419219	0.157915761488062	0.0385924547406418	0	0.0132588653030699	0
Sertad2	0.237935796892535	0.108251328426999	0.60273834947316	0.563491319189291	0.133007626914072	0.111246163005053	0.187610041452203
Csnk1g2	0.227364702009425	0.0469602308758404	0.809040383414598	1.23318611159139	0.230255537012172	0.189082454719076	0.398253198089296
Gm10081	0	0	0.00564143443539347	0.000204932444991554	0.00269261275008659	0.00246124311748979	0.00302869339609472
Zc3h6	1.88122686308225	1.67479306443781	0.44848078949806	0.101083286701908	0.00419604697209383	0.00814803169693634	0.0394209458337124
Zfp551	0.00950594709257198	0.00607150495248853	0	0	0	0	0.00155193619999263
Hdac11	0.00135192516650729	0.0033602436768179	0.00602891340008137	0	0	0	0
Hist1h3h	0	0	0.00556303265341449	0	0	0.0150521718663255	0.0148122251235301
Tubb3	1.59790313096256	1.06688131428005	0.229376491601863	0.308905190330729	0.0597986245057489	0.0308613317787822	0.0113923822606009
Hax1	0.729498542792743	1.22043344798342	0.667067597178791	0.748156581315327	0.60398354151966	0.855488339547689	0.517023550063955
